,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr_0.1_mu,pred_err_l1_thr_0.1_std,pred_err_l1_thr_0.2_mu,pred_err_l1_thr_0.2_std,pred_err_l1_thr_0.3_mu,pred_err_l1_thr_0.3_std,pred_err_l1_thr_0.4_mu,pred_err_l1_thr_0.4_std,pred_err_l1_thr_0.5_mu,pred_err_l1_thr_0.5_std,pred_err_l1_thr_0.6_mu,pred_err_l1_thr_0.6_std,pred_err_l1_thr_0.7_mu,pred_err_l1_thr_0.7_std,pred_err_l1_thr_0.8_mu,pred_err_l1_thr_0.8_std,pred_err_l1_thr_0.9_mu,pred_err_l1_thr_0.9_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr_0.1_mu,pred_err_l2_thr_0.1_std,pred_err_l2_thr_0.2_mu,pred_err_l2_thr_0.2_std,pred_err_l2_thr_0.3_mu,pred_err_l2_thr_0.3_std,pred_err_l2_thr_0.4_mu,pred_err_l2_thr_0.4_std,pred_err_l2_thr_0.5_mu,pred_err_l2_thr_0.5_std,pred_err_l2_thr_0.6_mu,pred_err_l2_thr_0.6_std,pred_err_l2_thr_0.7_mu,pred_err_l2_thr_0.7_std,pred_err_l2_thr_0.8_mu,pred_err_l2_thr_0.8_std,pred_err_l2_thr_0.9_mu,pred_err_l2_thr_0.9_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr_0.1_mu,pw_pred_err_thr_0.1_std,pw_pred_err_thr_0.2_mu,pw_pred_err_thr_0.2_std,pw_pred_err_thr_0.3_mu,pw_pred_err_thr_0.3_std,pw_pred_err_thr_0.4_mu,pw_pred_err_thr_0.4_std,pw_pred_err_thr_0.5_mu,pw_pred_err_thr_0.5_std,pw_pred_err_thr_0.6_mu,pw_pred_err_thr_0.6_std,pw_pred_err_thr_0.7_mu,pw_pred_err_thr_0.7_std,pw_pred_err_thr_0.8_mu,pw_pred_err_thr_0.8_std,pw_pred_err_thr_0.9_mu,pw_pred_err_thr_0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr_0.1_mu,mahalanobis_thr_0.1_std,mahalanobis_thr_0.2_mu,mahalanobis_thr_0.2_std,mahalanobis_thr_0.3_mu,mahalanobis_thr_0.3_std,mahalanobis_thr_0.4_mu,mahalanobis_thr_0.4_std,mahalanobis_thr_0.5_mu,mahalanobis_thr_0.5_std,mahalanobis_thr_0.6_mu,mahalanobis_thr_0.6_std,mahalanobis_thr_0.7_mu,mahalanobis_thr_0.7_std,mahalanobis_thr_0.8_mu,mahalanobis_thr_0.8_std,mahalanobis_thr_0.9_mu,mahalanobis_thr_0.9_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr_0.1_mu,kalmanw_pred_err_thr_0.1_std,kalmanw_pred_err_thr_0.2_mu,kalmanw_pred_err_thr_0.2_std,kalmanw_pred_err_thr_0.3_mu,kalmanw_pred_err_thr_0.3_std,kalmanw_pred_err_thr_0.4_mu,kalmanw_pred_err_thr_0.4_std,kalmanw_pred_err_thr_0.5_mu,kalmanw_pred_err_thr_0.5_std,kalmanw_pred_err_thr_0.6_mu,kalmanw_pred_err_thr_0.6_std,kalmanw_pred_err_thr_0.7_mu,kalmanw_pred_err_thr_0.7_std,kalmanw_pred_err_thr_0.8_mu,kalmanw_pred_err_thr_0.8_std,kalmanw_pred_err_thr_0.9_mu,kalmanw_pred_err_thr_0.9_std
Abart,236.3937456815329,7.579678862144509,12.301038429451191,0.3571557219559875,238.3203429645472,8.04627731597613,245.85,11.950209203189708,202.74,10.364960202528517,162.5,10.088111815399351,125.82,9.591016630159704,94.27,8.420041567593357,69.4,7.348469228349535,49.41,6.417312521609026,34.69,5.608377662033825,23.35,4.9967489430628795,12.284043536115812,0.34103386759556714,15.666454689162652,0.39012494461849245,14.214823706867351,0.39848084355700464,12.715508575477317,0.4425400173574008,11.180035792724818,0.48662066683607347,9.698574468837661,0.44458213235610383,8.315135118362452,0.42252569552097513,7.032150361588944,0.4887343777600194,5.846525448985871,0.4670547873221757,4.808845596648285,0.48477213987233764,47.7004149590101,1.384822647818383,61.40772202089465,1.7047722841105128,55.5134032632669,1.8576107572655367,49.70990431314189,1.92758087959304,43.758430921762894,1.9499737306934433,37.91017944890876,1.9769615507370952,32.334718940510044,2.0434453823119165,27.321644562737138,1.992029612282757,22.76355618594173,1.9015030546481917,18.81729650384242,1.777700268062752,,,25.427081866372195,0.7977199715789433,32.35071498544275,0.8641822640441185,29.314853242500753,0.9513211865187507,26.169210702435716,0.9089616329513127,23.079955833650196,0.9418321655343491,20.142159585278108,0.9145876768908711,17.25860147106516,0.9390113231283878,14.572771407264472,0.9019260272577071,12.11592825554489,1.0120075656294494,9.785382201341173,1.1006935563834048,4.213157386949074,0.12978205458890285,5.2879717756390985,0.12528432738184545,4.795914943284394,0.1347601161155028,4.28626484246109,0.1470886236321414,3.772965534154285,0.1490097123903844,3.2864803585246536,0.16084359702435036,2.808105731316395,0.15343660173911175,2.370071590531853,0.14406378173295462,1.9574743446995884,0.14743596797122782,1.6301705030284404,0.1490250172152942
Abend,236.9259544317709,7.233485983244908,12.230714175468334,0.35984412553650535,236.25618375107976,6.358341930246527,245.05,11.02848584348731,201.13,10.954136205105357,160.02,10.352758086616339,124.04,9.727198980179239,93.2,7.895568377260753,68.55,7.473118492302929,48.74,5.866208315428289,33.7,4.69148164229596,22.63,4.0463687424652734,12.311710563588607,0.39326960005398875,15.654498505751157,0.4082603745587075,14.20697745332089,0.44921224474836313,12.729990421937739,0.45535025790424327,11.22953052522083,0.45567991302407973,9.777919650275008,0.4607464734166506,8.395851742426693,0.42387913276154254,7.06664156465393,0.4388359564865621,5.852868047322143,0.44038122193786927,4.806960552691361,0.4394658631442978,47.82989874342319,1.5123974407200969,61.21179820745102,1.5643973318325424,55.545590086916285,1.4486604656025364,49.50302789453447,1.5660588738520629,43.53480095747754,1.8810612774201292,37.762348285259115,1.9997030970989664,32.26061901836936,1.9401267908478252,27.31664400554537,2.117872301252425,22.58382022256533,2.0504459569096305,18.295318933317407,2.0530839651089368,,,25.368007720413154,0.7733411112157746,32.54675592428926,0.7922167115011097,29.477619582795015,0.8326110642362299,26.343427700236486,0.8361641368800601,23.22179270500177,0.953945653644078,20.170684185031018,0.9702180554788024,17.25036296281415,0.9813938447527619,14.56433146490614,1.0653682103850415,12.007734100012428,1.0012811855344093,9.677422310848709,0.9621655543307028,4.203365728143774,0.13779723529996188,5.269717074805111,0.11833935924234817,4.765605728205197,0.13829961626906465,4.269884710329692,0.12858269864106206,3.7744560075971276,0.15478321276850673,3.2699235960535242,0.1700477881250851,2.8065131569019006,0.16651833808591993,2.365750080386693,0.17476399144035853,1.978141266249524,0.16661793554429097,1.6225412170195395,0.16276738553316486
Aboln,236.56446521873582,7.005195005769056,12.244460779291671,0.3257603966849408,235.89654053200465,7.600718188607164,244.37,12.48411390527978,201.2,12.58729518204765,160.42,12.795452317132053,125.39,11.130943356247933,93.89,9.167218771252271,68.02,8.716627788313552,47.94,7.12435260216674,32.83,5.5929509205785095,22.16,5.086688510219591,12.318203531710372,0.37810430698661784,15.706280598946508,0.3503565999899902,14.213022413745824,0.41230312436215827,12.702238019952723,0.4394875248145059,11.177071137028623,0.47231429980651785,9.679437134497482,0.5084257657821598,8.278111726327456,0.502858077830998,6.9853497831102285,0.5337493865119441,5.774412211818892,0.5442091583176868,4.728624925647251,0.5292507085942592,47.714053556819934,1.4114278867732784,61.15353214464312,1.5044385239413878,55.392459239072195,1.552111370080925,49.438438360403616,1.7257662459876908,43.51616483768244,1.6431624408732033,37.675069565541264,1.7616759390140122,32.22869408886784,1.62239338923798,27.097420485264042,1.6715207515676986,22.59755965395545,1.816996756984001,18.5785733742326,1.622505247992528,,,25.43509457648712,0.7332334621639744,32.44172896628707,0.7598101129608791,29.389817800473775,0.8060304843919024,26.328113235109484,0.7666242663248688,23.129832001489863,0.8454895202100886,20.06843911507806,0.9433770700727799,17.086160622073795,0.9144941618466953,14.394606024447166,0.8661140844810192,11.919767504750121,0.9686502533174978,9.813763468430505,1.0009158104258036,4.1963069097883015,0.12409046012130831,5.311872830928971,0.14283481835209175,4.798598113811299,0.16242152481969527,4.299982483508921,0.14698588285447745,3.791585800985905,0.15880478900405398,3.293118827102788,0.18135280752209992,2.845187112961376,0.17774708262821565,2.411337524276928,0.1674205742049313,2.0064956845593374,0.17667079793476925,1.6377624893639668,0.17039175431921966
Abtäs,236.3169574598937,7.529523754085656,12.307201761536652,0.36647258272832756,236.41272727949422,7.9067231300175465,247.33,11.179494621851205,202.66,10.737988638474155,161.87,10.198681287303767,125.89,9.646652269051684,94.59,8.8352645687608,68.93,8.022786299036015,49.47,6.869432290953889,34.0,5.43323108288245,22.99,4.742351737271288,12.255518428821581,0.3220853876969688,15.615098423561317,0.3856179748052374,14.112607105458489,0.392836717940783,12.57521652237258,0.4288699283556094,11.049579573152023,0.4204655236538932,9.589119515833483,0.4228320128152925,8.219934008660868,0.42741653367703136,6.942283131329353,0.4412538095698277,5.777883730487573,0.4648221132508602,4.732535329381666,0.45067655381033145,47.583110044392804,1.3801182413619597,61.18411909528524,1.2558683406986595,55.412055043178235,1.3540130590352935,49.32772608602599,1.3634144764732172,43.32187159716559,1.5925320338627211,37.62236453611336,1.4729150244859295,31.941857643913277,1.6302116640361193,26.752457391775437,1.6974233666725658,22.344132882588774,1.555839783654448,18.22796620424105,1.7594017412629732,,,25.42816116839763,0.7815800218259761,32.49552910405008,0.800568337627977,29.476433640380428,0.863606196283635,26.37116073576369,0.8845275133035214,23.257510113576995,0.8957378807135739,20.135746333029964,0.9725994949922023,17.326415482473426,0.9112353492940715,14.57620846306097,1.0097194491377715,12.16128765856492,1.1499133547255125,10.034370241578443,1.073850730501748,4.2004752157151355,0.13128692082280943,5.319478685920475,0.13346436993498986,4.842655753620331,0.1471913777652213,4.316696291607831,0.14411920772569553,3.8070873495221558,0.1555814144514306,3.312150507347551,0.16026239568453685,2.8477000632434915,0.17173056235940237,2.4145139784706835,0.17840346089435288,2.0293059427978366,0.16535805077058957,1.6676712420924178,0.1702824819725811
Acker,236.3266548293446,7.303353370332152,12.375031382342138,0.3454016167809471,236.89453586776727,7.392890837769923,245.82,10.963010535432318,201.37,11.295711575637897,160.94,10.143786275351033,124.55,9.84619215737739,93.3,8.738993077008358,68.27,7.889049372389553,48.7,6.3,33.33,5.480976190424476,22.06,4.456052064327794,12.257388687017878,0.3260093047523353,15.664469126645077,0.32312069011939937,14.218324254903175,0.34533372617228203,12.725085113799526,0.3636053445119994,11.18909624032235,0.3662312449863411,9.691935922020164,0.41997390806468965,8.269435221102468,0.44321679118686996,6.939015858094145,0.4583218531970674,5.73533084058727,0.4857778803203556,4.720416919484249,0.5076062511896714,47.764585850764895,1.4657083619576485,61.25837872243677,1.5509416556964795,55.52614328777005,1.6182616929810423,49.450298777412435,1.824195738697807,43.55267397337563,1.8166012642815428,37.703158596315404,1.6671571472790916,32.19565711785983,1.697250389127889,27.29765076949614,1.7408284352600587,22.68099919217665,1.745688146091894,18.69352136427776,1.8080192152753922,,,25.34045582590849,0.7413607727422628,32.50762740871363,0.8722279070231199,29.35022996378888,0.8832949094041105,26.21502849823544,0.9203136959944288,23.05318250662327,0.8880451155156868,19.937280734571033,0.9613768414031801,17.096094896013508,0.9286247120768435,14.380469326392896,0.9705209224881015,11.980619687535043,0.9556360267009527,9.789327661611523,0.9841190090568086,4.190466443467318,0.13112291471914078,5.338259083871627,0.13411925452935186,4.834738551503186,0.1377248401353608,4.318487235686603,0.143393678213321,3.812440833695391,0.1593877051002134,3.3204692767423625,0.13874459203434825,2.8322551269714014,0.14930105556690781,2.39166328691776,0.15348577147140555,1.983524981168682,0.15161213652508235,1.6384044763508576,0.16106128457327046
Adern,235.9730785895523,6.880525725503137,12.271372414952856,0.36269558428415893,236.43549907061438,6.637781012561713,247.35,11.485099041801947,202.66,11.319204919074485,161.87,10.536275432998133,125.53,8.564408911302635,94.56,8.037810647184966,69.9,7.400675644831355,49.46,6.085096548124771,34.21,5.361520306778666,23.19,4.136894970868852,12.307430091719384,0.32615654039435416,15.657215914020128,0.3627531140525147,14.197378319997872,0.3666726589949764,12.692959480389884,0.3725313801286402,11.168000333880645,0.43100874984376486,9.74145466993255,0.45173101913564023,8.318532752249094,0.4494583960269137,6.965313863878343,0.4521092541235498,5.791601936866263,0.42112587772179394,4.781608809242181,0.40769743116382623,47.843821691779524,1.306551893667606,61.276722233781754,1.5307613010378118,55.38118290490684,1.5923554699724454,49.49668218892583,1.6706940188160229,43.46469242827405,1.7502480708122583,37.67726954367232,1.7932052567726786,32.271900063305,1.8608405907467995,27.268203062891757,1.9612289820253588,22.521479912134946,1.8444780771622729,18.362173993923413,2.0001210586647757,,,25.236092293642216,0.7602710668648246,32.508254914260895,0.831203615232145,29.454189022891597,0.9248776174189919,26.224362207436698,0.9451293585656252,23.125339776540777,0.9544519373192518,19.928641266344798,0.889089798009518,16.983296079737713,0.9141002765630492,14.270134865141179,0.915853366449815,11.761993185318442,0.9844910650119248,9.624565494034751,0.898489775363289,4.190228912588467,0.12345614041054802,5.297029145003034,0.15352990792619603,4.813530396145402,0.1439403963755043,4.312785967280107,0.16076489260286433,3.8065362493321246,0.1332034506973606,3.29718855762416,0.1439817325559671,2.828685791329593,0.1421658781031949,2.389941890265114,0.15031123723937778,1.9932630400822733,0.1612707805077893,1.6345242204532138,0.17804024608774602
Adler,237.6139222073873,7.497872672396832,12.247163504858143,0.38049071753172814,235.653484129912,7.375164729833839,243.28,10.518631089642797,198.89,10.580070888231326,158.18,9.959297163956903,123.14,9.298408465968786,92.18,9.336359033370558,66.96,7.9761143422094944,47.98,6.717112474865967,32.95,5.752173502251127,22.28,4.804331379078675,12.2335647886746,0.37582013293437827,15.623207337845972,0.3679571696212125,14.171597966380238,0.4071990659216442,12.607886396288352,0.41376396446178393,11.055227748416733,0.4265435858582077,9.56977399982297,0.4116134015217276,8.184952213641154,0.44334778719507434,6.895494652294121,0.4383531683279859,5.746593637814462,0.5163928367341543,4.68955235469145,0.5080341648037813,47.72894557222348,1.5897363703766376,61.252157358188725,1.6248771283727519,55.539338185170706,1.74087322841001,49.52943781439323,1.9044174672036742,43.44918517154523,1.933791288827865,37.585486040377134,1.9763891320485858,32.30040339569483,1.8822501343297315,27.066522067678328,1.8096509443960351,22.309697664127796,1.9435758581821299,18.2364357077895,1.861959892661696,,,25.306051966235422,0.7058342973335567,32.65087701610886,0.7767958443465873,29.458355297766335,0.7854867473466655,26.34505815657014,0.8756110286488202,23.200325015335256,0.8512744886328785,20.058315766017714,0.9038204831143126,17.13978214353522,1.0302799854235756,14.34282196596084,0.9762619353323431,11.81965891338348,0.9160302834834699,9.65480458544855,0.922067405773892,4.191432378189697,0.1363817961107787,5.293239508538082,0.13852055830599902,4.793327182716712,0.1403074382742389,4.283342979953216,0.14518878098990073,3.7829078584681453,0.14774895867634374,3.2901273436395013,0.1486103764716482,2.826697412640342,0.1565489369323016,2.374401959103408,0.15505023576521548,1.9695076667128861,0.15463099289433122,1.610195011248356,0.15507369387499767
Adria,236.69828021415051,5.812186567617593,12.372883657855953,0.38030609031072243,237.71983655751103,7.65396276903053,246.49,9.922192298076066,203.02,10.346960906469107,162.08,11.144218231890472,125.64,10.64473578817248,95.46,9.657556626807839,70.28,8.660346413394791,50.15,7.463745708422817,34.74,6.257187866765709,23.26,4.417284233553462,12.307597358861656,0.39705368044343947,15.658755770019225,0.39162192850952754,14.197878818123781,0.400296222655273,12.69142968098797,0.4214411614183176,11.203419518823726,0.42824185367568757,9.73827030629868,0.4313831724365249,8.324585672230196,0.4703970511171571,6.999692091837753,0.46293694977179634,5.783613384526635,0.4897103412470938,4.750780077428613,0.5099888782193086,47.66861307892285,1.3430979178274092,61.131899866391,1.4241268640426712,55.44103618749841,1.4669319031486026,49.45225099070568,1.5730291030880597,43.455294892172304,1.7194629751701103,37.660547471400406,1.9133143092437854,32.118684100411905,1.6667197792126194,27.099353766908763,1.7528508174236486,22.45748819646573,1.6398554870738389,18.262802546462122,1.8597010266066154,,,25.498619852575686,0.719613414708677,32.39082382484633,0.8742592869978282,29.430319142261933,0.9111617895485274,26.277241806939557,0.9838578817988276,23.12724627251786,0.983968848343883,20.06159266790087,1.0055092213592631,17.147050205976726,0.9819118718400233,14.453511809974842,1.0373698266080693,11.976488626242988,1.028946028326765,9.738143175581861,0.9685561866587239,4.1842200253546995,0.13013768480644158,5.3028012865670435,0.1323258091925467,4.808987167222063,0.14446625799331078,4.303853606757077,0.1577225764641771,3.7898018579185413,0.15885525432068506,3.291688166950758,0.1720095768241898,2.8284029144951965,0.16639462655256956,2.3893961058198703,0.16803389794971693,1.9919759443970546,0.16335929964701085,1.6248364662308725,0.1690107179435776
Affen,235.95154810073615,7.140895614524625,12.27918170903668,0.3067042828632741,236.47738336966796,6.804258199850885,245.39,11.932221084106681,201.58,10.439521061811217,160.75,9.318127494298412,125.84,9.662008072859388,95.12,8.574706992078506,69.21,8.190598268746918,49.32,6.773300524854925,34.18,5.652220802481092,23.18,4.6008260127937906,12.223384952182936,0.36116634892093086,15.532409011095835,0.41745695829506424,14.095228971241447,0.4410444969340596,12.567027507610288,0.43568293857617346,11.059282588695947,0.4269292955124329,9.583579260756528,0.4183402356902544,8.164512528019788,0.4590590156046603,6.857526198989873,0.4736395572241778,5.6983419964563256,0.45705414495673796,4.642951688268154,0.4505547917932999,47.78953006249166,1.5963346349480758,61.17536503344506,1.5735320266390254,55.41102873216873,1.5458024383357036,49.494631667757545,1.7207906897204484,43.48078312186739,1.6987026657199784,37.74925974824825,1.6103116904668504,32.17682153416886,1.6837763454641324,27.011388255925027,1.7421182214610498,22.324043936326124,1.9547575890396023,18.355657331178758,1.831696117920139,,,25.330256168667443,0.7682367230423683,32.33970265847052,0.7983544010030128,29.345352841044402,0.8174331752895139,26.263954945627237,0.8672186453516513,23.003711394077786,0.8960598938207845,20.041409957024015,0.9539137392416853,17.161908228730198,0.9194848710725763,14.449460549871512,0.8885102221044417,11.954737266259938,0.9343849470853519,9.864581676277792,1.0089916903561003,4.18790448337004,0.14033875178722052,5.291243708339765,0.13539084814348498,4.796880167042426,0.13144389436590698,4.283655627529941,0.14247290762971412,3.759953595731958,0.14584190194705718,3.275389333254354,0.15978766155876564,2.8073623986587193,0.16697995170209207,2.3704816265188837,0.1777948576751995,1.9704808939330707,0.1889184651202304,1.6156302420483464,0.18715423303558548
Agenk,236.41187313311357,7.612447829250215,12.268696077653482,0.373199256851627,237.58505981185814,7.314282246733181,244.59,11.499647820694337,201.86,10.800018518502643,161.06,10.004818838939563,125.42,9.254382745488757,93.95,8.958096896104664,68.96,7.602525896042709,49.13,6.408829846391617,33.84,5.304187025360249,23.12,4.767137505883379,12.295031346930191,0.3885003022894732,15.667728307498898,0.31982758229654823,14.213336498335895,0.34794480176138487,12.716580042478743,0.37227949612011146,11.192316832843884,0.4382281520389724,9.708187581121086,0.47020622046748944,8.302402292209992,0.45838431289288356,6.991952842158388,0.49253979842573203,5.858539108274739,0.497513333304169,4.817435632503539,0.46077535381704776,47.98337120220626,1.4949786135910588,61.56842989440188,1.5412817075776968,55.82500144088437,1.5686404396373164,49.75895135191668,1.7569555787965525,43.93096783774451,1.8646535789666139,38.19378616642616,1.8957364878703011,32.73012824579867,1.8705405631001735,27.582331561451177,1.726205105048892,22.90854876095061,1.7267709895173136,18.474369634222004,1.762818539843886,,,25.422975370631846,0.7369920013633273,32.48279484056062,0.7757320869457723,29.47896754927495,0.8470413621729327,26.340044433698402,0.9381786228801429,23.136485956445178,0.9484805118091771,19.99783787863653,0.9391297170915129,17.163141997514263,0.9095881754318416,14.450709463820331,0.885077148332614,11.904090740021854,0.9505919694554698,9.665770897739522,0.9629409975006497,4.178750001571661,0.13945523126488885,5.308343118942438,0.13554338732176896,4.806956101104567,0.13538114247438537,4.295037882722332,0.1443320731209411,3.7836893424410754,0.15801018152072618,3.2863035993916663,0.15114204226647676,2.8164129752144174,0.1608714788055814,2.39068157160957,0.17287720468193307,1.9728045752770285,0.17818866671600145,1.6215617365151254,0.19404691926528692
