,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,376.88055057099353,12.811136549821887,19.490392166652427,0.6268967723100587,378.07112646899077,12.489631548782457,313.24,12.223845548762469,312.0345729398958,15.110806332788535,19.561988660243706,0.5954263439178398,17.68620942230107,0.3286278602143995,18.99866070843091,0.6282329737301033,30.03831377546292,0.8677115570453321,27.294215599372468,0.49739887715778347,29.164434039583217,0.9070514204228981,,,24.553959946290682,0.8236651425058477,22.398246934646224,0.4300813488410367,23.838229396363428,0.8562065697628967,9.170438673093345,0.3462680586693976,8.29752561167137,0.2124063739280814,8.901729530615079,0.35929704211606145
Abend,375.73528872704645,12.01939283174505,19.539775850567516,0.6221317212719119,375.12743068772136,12.649924908752048,312.82,13.064746457547503,309.74485686213353,15.11256064638689,19.449057353359628,0.5691260438981693,17.657200079704314,0.32138037477438747,18.885496400624785,0.604416663957656,30.041742744886697,0.8246693926053814,27.279199841239343,0.5632905047305606,29.17379123362305,0.8662396310316779,,,24.69162107608993,0.6804639308222303,22.459911356977095,0.41525489357766543,23.982560581840733,0.716338302156526,9.170519744732085,0.3293101794271617,8.31803760693681,0.20608379993732254,8.91425400665443,0.34397093352586616
Aboln,375.86484388685517,10.599072521503585,19.421283129833597,0.5596144502309899,374.7469431098194,10.925055396319781,311.67,10.793567528857176,308.8852581930021,12.363145236828135,19.457293819312703,0.61425799990891,17.672891547106175,0.37269875801131036,18.896513577377227,0.6516900028539885,29.98962550158709,0.9194603475992318,27.28392656051384,0.532829504971098,29.113671167009983,0.9602964798760633,,,24.682241598943964,0.820090374554075,22.448564799542506,0.48252475741853673,23.979737426216175,0.8685921985751558,9.224990684403767,0.30716245819482646,8.302300634082773,0.21869860046938866,8.962333162901428,0.3145883748249352
Abtäs,377.3107160946516,11.355227218256708,19.4583467855753,0.603389250946174,377.70647361517666,11.64653793936462,314.26,11.695828316113401,311.58425762594345,13.78432738757401,19.471511200277895,0.5587967144628081,17.68922518629824,0.37591529422465475,18.91012689192778,0.5937402768767212,30.09441280462975,0.9226403423610524,27.252974390733765,0.4663154669448786,29.22671387119742,0.9783219755991162,,,24.67529319714753,0.7145340342604604,22.475112594532675,0.4191115574644946,23.96943401412283,0.7496401798680529,9.156493282665236,0.30262574071567916,8.32424800764114,0.1983821060258594,8.896709002307471,0.3194468443932124
Acker,377.02989182688066,12.359541323021475,19.500685359045473,0.49309268964444325,375.3599816022521,10.706924946726893,312.91,10.95453787249832,309.6306585433151,12.525364468102424,19.52053834722944,0.5316847354500627,17.6814274700758,0.35654259275575606,18.956109542003947,0.5667059441483967,29.963421831754193,0.8625134538590435,27.240903628805416,0.5609000611810664,29.09412607285733,0.9039199292128292,,,24.415896745431027,0.7519743510935724,22.349460678384307,0.5188541769981061,23.69193728342378,0.8072167282721175,9.18576527978948,0.32364378589729276,8.327559446640613,0.2362510696998655,8.927556571337679,0.3351376239699817
Adern,376.3563421432816,11.83603808321732,19.405139412060237,0.5066758747397027,376.6379204036907,11.661239208853363,312.8,11.31370849898476,310.64813546115687,13.769948327395303,19.501804764047762,0.5784187829146372,17.672239023738165,0.34923901252001416,18.93277949118418,0.6115008407041651,29.890615595842938,0.836735837954586,27.14540405669477,0.508352513671802,29.007240899164316,0.8848046543786343,,,24.552476294694767,0.8305296273525026,22.355587091755844,0.42870351889776376,23.84274692175512,0.8668834315109866,9.197419195538389,0.34709453747018015,8.251211847884749,0.1992499061341202,8.931471247943053,0.3525424034166036
Adler,376.4653837629462,11.190193661263478,19.515715588279075,0.5092169906386497,376.565241455307,11.644330170622437,313.87,11.885836108578983,310.6428884417907,13.555410864371181,19.604204329570784,0.5612406928844103,17.746744177836455,0.35081488911951664,19.049929409629016,0.5965385779118855,30.13623793446297,0.7697787851799844,27.24012280085102,0.4973726484965315,29.26207621274718,0.8125474247664249,,,24.60755226532147,0.8126951222821254,22.40696843427108,0.511173279663193,23.90538992590744,0.8554267495020504,9.193232980409526,0.3168935570326843,8.3098753862487,0.19119216060399946,8.932784987593276,0.32088140576195356
Adria,376.30360133975825,11.947402417189434,19.381984042166035,0.62309287296806,376.3145482279505,11.163905663372027,313.94,12.458587399861992,310.5116676257755,13.317301016790024,19.51290478749266,0.5469658642368395,17.651962804688452,0.313383378460558,18.95547968767652,0.5777059840824905,29.899619297504714,0.9134790192525918,27.249110234445354,0.5073606367856378,29.032465251688237,0.9595112666309557,,,24.629140661614766,0.7350720735805163,22.454250322502876,0.43274457890071666,23.91577000102492,0.7556606035009394,9.17206100620284,0.2792303302338621,8.307937189153577,0.2085020251342187,8.910294110354862,0.2924624236324864
Affen,375.7466891818078,9.983782621533054,19.489881844995203,0.5582401275793027,376.1355049826136,11.846105069996948,313.77,13.000657675671643,310.6208081318075,14.218734773486869,19.5082773776227,0.5913339085365946,17.651201011740564,0.3675633865457534,18.942572371803575,0.6223179343378377,30.066428790681627,0.8284607511118617,27.274995737720474,0.4979402595332719,29.19348816209579,0.8785827673374763,,,24.65265965591631,0.6587820994027835,22.477130181608295,0.465657235433555,23.957882529567325,0.6972128848691476,9.190314109832467,0.33421968959641846,8.32106048949418,0.2063025027369283,8.929619826701048,0.34878770573087864
Agenk,375.29920457155595,11.710195574088976,19.52863460201081,0.5245527350161346,371.93810163659094,12.065196235788688,309.21,12.394591562451746,305.42201098584565,14.103057099752485,19.45719900721908,0.5307604677014532,17.67900667792046,0.30450432188058424,18.89813351120032,0.5513630227976013,29.997417083441796,0.9263476095219435,27.260640165535122,0.5624064900980705,29.12349337449978,0.9628926228013694,,,24.515541562171663,0.799904846783661,22.376699942700107,0.4843817246548518,23.804461505072055,0.8368436157102995,9.168095291717304,0.33783602967410353,8.268981046414394,0.2058413025171273,8.905343478562036,0.3567378354236791
