,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,466.97553370510235,15.727953847051483,24.25206503930415,0.6984896831714302,474.1695340583278,12.836098350512291,364.51,10.634373512341947,420.0467411417402,14.500568625284224,24.53655418490803,0.7384910880451531,19.088309145733405,0.2577866499848157,24.17043306971148,0.758893224242711,25.044082208845342,0.760684129911046,19.46888081982093,0.34434530614018244,24.659951270203468,0.783227405543715,,,42.142816607552376,1.3590863039602006,33.19677704111747,0.7347384578741382,41.51366051977115,1.382355275892581,10.272377163792367,0.507839244704652,7.6837015450575,0.22097463988062102,10.109799730865472,0.4946398794784793
Abend,467.9458008300204,13.949497655063608,24.46383300985548,0.6779644460568917,473.02776398885806,14.54824369349766,361.97,11.452907927683693,418.1784800015061,16.519963744183507,24.547750796762113,0.6926124729595899,19.072108221786312,0.29101198681639834,24.179946502948347,0.7128671015771201,24.968855683764744,0.7869981593662134,19.464891403857074,0.32453370000159704,24.59160994994791,0.8156181420386301,,,42.28518106169853,1.5236191671221668,33.333990289916954,0.7799534844312512,41.6399005257872,1.5380259096700397,10.32281342172335,0.5079070191313839,7.692730804741339,0.2780084002184881,10.159339258252556,0.5004415538167287
Aboln,465.7593270993577,13.433132946594343,24.297872958972835,0.6155921974727702,470.801297825732,14.76478270845776,363.81,11.48885982158369,416.6358319969409,16.63996905613762,24.454192523144656,0.680323085520174,19.038128871033887,0.26391114017024186,24.080776900533547,0.698799436724737,24.914182753338427,0.7726009693384562,19.501378203097524,0.30507819140269193,24.537541259568364,0.790388217185406,,,42.03728823516702,1.478838443832288,33.20321742798138,0.755233297275987,41.41140394861724,1.5533694980471213,10.23655680873713,0.4891722112176721,7.694593972899792,0.2739406172320142,10.06223011384422,0.4897694491456485
Abtäs,470.8833334705479,14.564096321857454,24.27373690423277,0.7327958054872649,474.7705853608846,15.766707141501591,364.64,11.7333030302639,420.5527324388321,17.75221852366426,24.561302874713057,0.7033722076512354,19.075270028051715,0.2899540600025195,24.195530107998255,0.7234072245822816,25.11284069338106,0.7344053173883862,19.509177623502797,0.32994635770294795,24.735221624348434,0.7583095430434619,,,42.36431703787398,1.482075579141637,33.3458273244659,0.6835567680935078,41.719770032832066,1.4662135931102165,10.29900579450658,0.4977011118837597,7.684401103906441,0.2579351231514102,10.153715564914837,0.5029690071421046
Acker,466.2072918311146,13.485796861342484,24.328706325520344,0.6438155531235286,473.45281707951284,14.65274182382119,364.78,11.914344295847759,419.45823816630974,17.208378680886728,24.43772351390116,0.7947550980343367,19.034631116900425,0.3504543387177187,24.067192797015093,0.8208960780963732,25.133587164124016,0.7030590093554078,19.494710644563483,0.3348346849069021,24.75746821553168,0.7269810550108764,,,42.398560524346784,1.4704317002480072,33.2460517045656,0.8316493547559114,41.75325753073019,1.4906544054106503,10.34000417691242,0.5200424488393358,7.715216740487469,0.26480863076036887,10.180663844033438,0.5128147451094153
Adern,468.4858069294846,15.616311883224997,24.24894933961395,0.6942060076784605,473.83859451814357,14.041014356101895,363.66,11.115052856374547,419.4421602547915,16.22572728045899,24.447112320890707,0.7358338210894754,19.125352921964787,0.30145581814444194,24.081041588970407,0.7586819735171648,25.032948596275823,0.7828195330551141,19.4764495265919,0.32733420613869024,24.653031648166724,0.8055801088101697,,,42.314241857614704,1.4804732194849606,33.1913369479569,0.8020142806716073,41.67162053950914,1.5240567126935922,10.207795459151962,0.5649246071640369,7.7235894886251,0.30891358793581725,10.045956674774748,0.5565964101255079
Adler,470.04744787190737,14.559644311089462,24.154284595938282,0.711441156009063,471.5754724700503,14.72943641553621,364.33,12.377443193163925,417.7150446144496,16.524034622645427,24.56532035913213,0.6619591904627552,19.015166308694496,0.2888775738781214,24.194216843804057,0.6847106643022733,25.02698024537173,0.7795695719713744,19.474502894336172,0.3182223092998417,24.645177501144744,0.799274276720071,,,42.32346553457218,1.460946818622116,33.43035593216474,0.7112293570324814,41.69260616772281,1.48392774020457,10.218380864453843,0.5233847867949964,7.702965674374825,0.2596051152297182,10.055995542575511,0.5275651519917337
Adria,469.8841529367318,13.765836602811545,24.319419781086552,0.6519466056558212,471.11904539572555,16.397679158218402,362.78,11.81742780811459,416.55098053119104,18.46085013689434,24.459038448725757,0.6140140771531335,19.046041226872397,0.2798456436625963,24.08844679759902,0.6323054581201561,25.01454810355161,0.6795713069549927,19.514913699590288,0.3112926026886966,24.634197274050997,0.6987402437150899,,,42.34110183220199,1.4592193842351022,33.281566615997484,0.671328180743898,41.69774691707719,1.4704016399283657,10.344615805000704,0.5170657700871674,7.722197566410839,0.2935966661193839,10.174193764556458,0.511439116365296
Affen,469.197178337788,14.151534972648184,24.316759309869543,0.7368724431357563,471.44984399549554,14.783399627353642,363.76,11.819576980586065,417.40275065004926,17.216870819061214,24.54727889297046,0.7561441322088218,19.049180289772778,0.3142137612077102,24.17977838324833,0.7792271049729289,25.072134004334927,0.7946669120342145,19.509195793602306,0.3402593634304561,24.69648555752255,0.8216200579554378,,,42.23774257139619,1.4648815767486294,33.32426059070837,0.6607587041733243,41.621493865974884,1.5151867171450426,10.305870167450838,0.5305793219650676,7.719767832964972,0.254218776282962,10.148152383807883,0.5604110195097605
Agenk,469.8662834831812,14.098457863591387,24.246061111830144,0.7297396198792317,474.41483312689917,15.27482700910031,364.85,13.185882602237895,420.63366788592555,18.143117239351824,24.55575668197033,0.6864580638722911,19.029913427253742,0.30396537833737913,24.184713547815118,0.7046348749143195,24.9614769115594,0.7865282379082849,19.467649913231895,0.3569564887212554,24.583215038512275,0.808876003121232,,,42.55194756462184,1.4610120683323604,33.38717784758562,0.8013838302464484,41.918462597625464,1.47962551791167,10.31073628427935,0.5370744128115855,7.7215937380395046,0.28119878594122877,10.150353926823191,0.5158760779241641
