,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l10.1_mu,pred_err_l10.1_std,pred_err_l10.2_mu,pred_err_l10.2_std,pred_err_l10.3_mu,pred_err_l10.3_std,pred_err_l10.4_mu,pred_err_l10.4_std,pred_err_l10.5_mu,pred_err_l10.5_std,pred_err_l10.6_mu,pred_err_l10.6_std,pred_err_l10.7_mu,pred_err_l10.7_std,pred_err_l10.8_mu,pred_err_l10.8_std,pred_err_l10.9_mu,pred_err_l10.9_std,pred_err_l20.1_mu,pred_err_l20.1_std,pred_err_l20.2_mu,pred_err_l20.2_std,pred_err_l20.3_mu,pred_err_l20.3_std,pred_err_l20.4_mu,pred_err_l20.4_std,pred_err_l20.5_mu,pred_err_l20.5_std,pred_err_l20.6_mu,pred_err_l20.6_std,pred_err_l20.7_mu,pred_err_l20.7_std,pred_err_l20.8_mu,pred_err_l20.8_std,pred_err_l20.9_mu,pred_err_l20.9_std,pw_pred_err0.1_mu,pw_pred_err0.1_std,pw_pred_err0.2_mu,pw_pred_err0.2_std,pw_pred_err0.3_mu,pw_pred_err0.3_std,pw_pred_err0.4_mu,pw_pred_err0.4_std,pw_pred_err0.5_mu,pw_pred_err0.5_std,pw_pred_err0.6_mu,pw_pred_err0.6_std,pw_pred_err0.7_mu,pw_pred_err0.7_std,pw_pred_err0.8_mu,pw_pred_err0.8_std,pw_pred_err0.9_mu,pw_pred_err0.9_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis0.1_mu,mahalanobis0.1_std,mahalanobis0.2_mu,mahalanobis0.2_std,mahalanobis0.3_mu,mahalanobis0.3_std,mahalanobis0.4_mu,mahalanobis0.4_std,mahalanobis0.5_mu,mahalanobis0.5_std,mahalanobis0.6_mu,mahalanobis0.6_std,mahalanobis0.7_mu,mahalanobis0.7_std,mahalanobis0.8_mu,mahalanobis0.8_std,mahalanobis0.9_mu,mahalanobis0.9_std,kalmanw_pred_err0.1_mu,kalmanw_pred_err0.1_std,kalmanw_pred_err0.2_mu,kalmanw_pred_err0.2_std,kalmanw_pred_err0.3_mu,kalmanw_pred_err0.3_std,kalmanw_pred_err0.4_mu,kalmanw_pred_err0.4_std,kalmanw_pred_err0.5_mu,kalmanw_pred_err0.5_std,kalmanw_pred_err0.6_mu,kalmanw_pred_err0.6_std,kalmanw_pred_err0.7_mu,kalmanw_pred_err0.7_std,kalmanw_pred_err0.8_mu,kalmanw_pred_err0.8_std,kalmanw_pred_err0.9_mu,kalmanw_pred_err0.9_std
Abart,10.821018968148556,20.17625302266154,24.273120341339126,0.6525717815033332,269.14,11.606050146367627,245.63,12.01387114963366,223.85,10.812377166932349,202.41,10.154895371199057,181.55,10.88060200540393,161.2,11.255221010713207,143.81,10.129851923893064,125.31,9.943535588511763,107.33,10.610424119704168,16.44846875515467,0.34333017738124816,15.719429466280577,0.3599128431022798,14.961183968716302,0.43928834975034997,14.273583075760923,0.42991415346704226,13.549047834852649,0.391538974911377,12.78572316510587,0.4304452872028525,11.974983271544552,0.4120384038268194,11.267423077052067,0.4638719680197466,10.425835430221218,0.4265625182126989,17.11220790665344,0.4158885535680779,16.34046270139564,0.3468082666223192,15.573313049035066,0.4614342901919015,14.849595555606943,0.38907880184717125,14.003786392026035,0.40433283973839806,13.218770658060317,0.43328681285223014,12.520801964794764,0.4928286243023676,11.609160486706896,0.4799282740140056,10.91709882033158,0.45734884289599387,,,31.718753227352664,0.890371861192318,30.41529008017905,0.9875132589767008,28.77869382090669,0.9701196680410543,27.181374155554895,0.9672926199044918,26.045477902025965,1.059157767926295,24.558878409455748,1.0294871127229568,22.85950865187963,0.8900552525938424,21.580821463666588,0.9427951406215266,20.18755881696792,0.9945458032590114,6.714198734240414,0.27249901315466113,6.42354405461121,0.2515405121620858,6.13738522743786,0.26892046519518464,5.855307995298102,0.2760040966330017,5.44690230342818,0.24559875088518268,5.199192157763407,0.24642283218684238,4.884533569407154,0.25970105047662645,4.5664053898839265,0.256684491243837,4.2242369843416325,0.24402680779988672
Abend,10.064102270029984,27.910711747948195,24.301232118888212,0.7709129764432321,271.01,13.128971779998613,246.09,12.00591104414821,224.71,11.151049277982768,203.67,10.626434020874546,182.4,12.264583156389783,163.26,10.96505357944046,144.38,9.235561704628475,125.09,8.283833653568859,110.42,8.569924153690042,16.437577774492215,0.3550167707582244,15.760720349005659,0.3459683228836238,14.992806132576977,0.4192424966080884,14.209094981535646,0.4020196583483059,13.469502777965829,0.415325070722683,12.730928671357495,0.40429588769578495,11.951230559677889,0.43369126048525153,11.265708429274783,0.44024264510283906,10.388356665623988,0.46048429700229027,17.052924970830432,0.4012379933046788,16.447665962841924,0.345144483432339,15.53832848802469,0.42261120005564906,14.767963592956692,0.44961903541535625,13.983376725771237,0.4786343868523362,13.250845564446903,0.45359958041310433,12.499573674811927,0.46523979585800596,11.678146924803777,0.5392218953398072,10.91998762694942,0.5241494884839972,,,31.82849672038467,0.9886105869022868,30.308610852903872,0.8185002194527013,28.993241966031547,0.9456851015222986,27.491502262820074,0.965581426585679,26.115679184778568,1.0710602617992138,24.43313228836915,1.010020172254288,23.002756663466005,0.8698605807042971,21.521884702803437,1.0971847337872396,20.21767075799023,0.9628171665537041,6.683025574258887,0.25223765077044014,6.441026732658354,0.25183964182988877,6.110443758489047,0.25097694952180477,5.8175747860799705,0.29478178062760574,5.481558353166206,0.23634497580773609,5.170804182693213,0.24050821649473,4.904951317532943,0.2325899799191096,4.558151809686776,0.24780703449068467,4.225239003732358,0.2041406077873055
Aboln,6.871391174963915,19.507738505006618,24.238268360510325,0.7096204648858685,269.72,12.780516421490955,247.59,12.775049902055176,223.64,11.432864907799793,203.27,9.794748592996147,181.71,10.045192880179057,163.11,10.904948418034813,143.02,11.457731014472282,125.81,10.323463566071224,109.93,10.110642907352627,16.385788287745555,0.32548761755345085,15.783284152668413,0.3846314549359737,15.01441550354259,0.37057669513854335,14.229646961890232,0.4088365687754296,13.422125663514542,0.36951680993472136,12.808739303665805,0.3823577522775613,11.933268197156053,0.4087910649022138,11.282302614035093,0.46866589948168247,10.374605773426529,0.4664279644113837,17.099862812295484,0.4335016512245215,16.38830041797022,0.4441449521202921,15.626267853577183,0.39053918694917483,14.831298861856443,0.4349561176761239,14.004529606127521,0.41455475195900937,13.150686558899865,0.46603317369793656,12.494191804972582,0.48292658947510636,11.650996476360895,0.43305687391648473,10.855920548431511,0.535925950670763,,,31.795785430934426,0.909134109483394,30.4421967856029,0.9242686419251733,28.84054537779342,0.9553114470323317,27.342723470145152,0.9702932647080652,26.050115075474142,0.9598020006800999,24.539577155678995,0.899274114150915,23.285379013097863,1.031665373238549,21.60145669587559,0.9762732089385335,20.08204063586241,0.9153989355617975,6.747332512287259,0.25882781262586363,6.384678685180383,0.23575340392675084,6.116121183041239,0.24549538337175295,5.804980381164491,0.2581096157510728,5.501641311306214,0.20767628769222213,5.168709973127059,0.2505221686357493,4.847814096221888,0.27680112003016566,4.538323990188132,0.24722361750329178,4.220912719119766,0.2500389328264474
Abtäs,4.184072684083244,21.788067203779516,24.18634234124408,0.7547267256034227,270.17,12.407300270405322,247.46,13.018002919034855,220.89,10.55167759173867,202.97,10.520888745728662,181.88,11.569165916348506,163.2,10.389417693018219,145.16,10.19384127794817,126.18,10.443543459956492,107.8,8.514693182963201,16.43192554091844,0.37659396929881317,15.721817818101734,0.39299426766671713,14.978630085389822,0.40080015600657914,14.240017255030716,0.44934238218474154,13.492871839140253,0.4152222688343045,12.799129014989804,0.402860345090186,11.982423425490445,0.47066851632308637,11.267489627643533,0.42857612036294945,10.449860836310783,0.4128056464464468,17.158100861657502,0.39354546469857415,16.374278957811374,0.3977480454367989,15.525590566154321,0.345101806821213,14.796332466808929,0.4364106370339459,14.004774949190686,0.4429521933933,13.18811883136218,0.4382066983025481,12.401554098744755,0.4698723121516382,11.631626405817336,0.400836108263509,10.83496563144611,0.47605250394449683,,,31.620702412716305,1.0399819223529643,30.45541807541196,1.0249461350732474,29.17348344057702,1.050955635269622,27.40456975826605,0.9921377412800461,25.852058431990404,0.9071755950386298,24.56148476431299,1.1005904694326123,23.131614420571577,0.9514711381890584,21.65335844369396,0.8825502067254806,20.09642099957769,0.9748827904205021,6.708119366499875,0.2735402962708536,6.392097917987751,0.2639284333697114,6.166468061350623,0.28053627453315755,5.833443761042818,0.2625356009110841,5.521399213594005,0.27326043346854856,5.204048201659714,0.2846883306047371,4.84251889716851,0.21870945933116076,4.51060568195471,0.22333251100888563,4.208830772514447,0.25225158705648587
Acker,1.5802144181864062,21.525152186549764,24.215974288429525,0.6969437270655038,269.8,13.498148021117565,247.25,12.006144260336038,225.38,10.380539485017145,203.41,12.950749013088007,181.66,11.395806246159156,162.21,10.62383640687299,143.11,9.449756610622305,125.83,9.818406184305069,110.12,9.5909123653592,16.416349639896676,0.3368449207932393,15.729077688077242,0.3551268539982306,14.994625430873645,0.4137731114963318,14.222132422947901,0.37543220977178876,13.510752747947777,0.4117768616881005,12.737821482139891,0.42178654451696734,11.883504703008898,0.39027679096427015,11.212379426057588,0.4717495162907507,10.52789316730134,0.42832867974224964,17.091002719420256,0.3950064109850084,16.323993191385778,0.39499680007745036,15.601149952047814,0.43747939495280075,14.783345986358283,0.41767679974381017,14.03218431687278,0.47759451343162396,13.313289826902508,0.4254706815923129,12.342393356743544,0.4108182768641512,11.635278991682656,0.4646411166026274,10.850459708131702,0.4686946729277241,,,31.60005562551266,0.9132848804316597,30.219060523659365,1.0272736018988788,28.86726152753377,1.0486038408169753,27.589155696394613,1.0875763745665281,26.07450766258501,0.88706777546057,24.487489586117572,1.115064587797047,23.02795957570045,0.9018171073882203,21.647636088705596,0.8204278990299397,19.934285615605173,1.0226639347904547,6.675356742796339,0.2913137557514617,6.437997346224333,0.29147027307716344,6.135052319586362,0.26523675248824957,5.845934336927993,0.2906408257744156,5.503277140400154,0.23582901672284304,5.171253249200198,0.2348859809365685,4.800654691675072,0.2495459299289723,4.534885083243923,0.2580730733145492,4.237654076887953,0.2628771304465448
Adern,7.324264300758821,24.05728482135829,24.309850677259067,0.7173187632916657,270.92,11.95046442612169,248.75,12.85564078527399,226.7,11.631422956801115,203.79,10.810453274493165,179.39,11.076005597687281,162.21,10.685780270995656,144.35,10.683983339560202,126.88,9.483965415373467,110.65,9.340637023244186,16.444832976336063,0.3427366050046274,15.712501663827052,0.383785700921708,14.997456002697163,0.39536495439380687,14.222702780856437,0.42979717009144897,13.476706249220019,0.4223608317943283,12.76665643922577,0.438729259082647,11.957356148845632,0.42618532314421087,11.13965013837054,0.41011558700108774,10.470252589717068,0.42873150983225705,17.06656833481391,0.40626679059335513,16.372822249373993,0.3786686691349868,15.560699820926656,0.4542619086738743,14.794461670961743,0.40736872960022996,14.038094961271211,0.44701240296015565,13.254352676148669,0.4559903506353851,12.43052894823848,0.4421610197773525,11.571086417323261,0.5056884642601109,10.865942693305216,0.5042521286307075,,,31.67386053476045,0.8858917592112049,30.225842566942273,0.9541393363749436,28.922704271709744,0.8580930508711585,27.746067327331133,1.0158887994472752,25.87744209383358,0.8705548203619782,24.682177143222997,1.0595115067857046,22.98279670588563,0.8948003559374871,21.391873581343496,0.9972434235904153,20.074412459997856,0.9952425112329634,6.690920524067895,0.27482607168137385,6.428145115712889,0.30694194949213793,6.107232080878267,0.23849577914591982,5.839761034918374,0.2450629016322547,5.4727318116658354,0.2542157857125768,5.183254579067132,0.23370214888798166,4.871307453868344,0.24460157836992494,4.573588904768139,0.25001824608166057,4.197406199540037,0.23173806157788557
Adler,6.156888647922776,25.83599546701872,24.369289055717758,0.6768373932806199,271.29,10.622895085615784,246.6,12.731849826321389,225.1,11.192408141235738,203.37,11.776803471231062,182.65,10.116694124070372,161.63,9.924368997573598,142.13,9.085873650893458,127.28,10.385643937667034,108.19,9.074904958180003,16.395889286602326,0.3532909586714468,15.68333398634018,0.3209907676351657,14.987897641223237,0.36458784430489943,14.269495033689461,0.4018849132672017,13.499004098973831,0.3960913226615876,12.747727101878995,0.45327004756527317,11.955007633486566,0.4558426080106314,11.27478901633225,0.4462428007191468,10.473574418553959,0.4628594808493534,17.090389259995842,0.3991370927523851,16.394695711960008,0.3766015674020476,15.588089696132561,0.4487996405633201,14.777119974283726,0.4690590876066015,14.013358647464194,0.44651968829960115,13.235616142248917,0.4957058342092626,12.420907092607447,0.5046538848801515,11.639689230504905,0.45094294735929064,10.808187091710545,0.520161444749795,,,31.631481136722115,0.9209018427748212,30.254293300397457,0.974360992147499,28.93080457722639,1.1273355609297577,27.282270794556133,1.0695887751618174,25.903831622303084,1.0344623536184019,24.44151744308256,0.9316016785628107,22.9952897793199,1.0220505518928047,21.60395689773707,0.8661913290844255,19.997079487955013,0.9918480294361977,6.713956772203611,0.2838162306461719,6.435412774517405,0.29229853213318535,6.11501434255726,0.2581297877166022,5.795098460580814,0.268907394784001,5.5270629807369485,0.2774466493980836,5.187693248473057,0.2466167478212532,4.856414144519989,0.2304889492686317,4.533081947621488,0.2597495129627898,4.244528516185498,0.28970214450816045
Adria,2.4631961838124403,26.525110200806786,24.257055546049756,0.7248867076786937,269.55,12.119715343191853,245.95,11.942675579617827,226.32,10.13299560840722,204.11,11.832070824669701,181.21,10.345332280792146,161.66,10.028180293552763,143.2,9.248783703817493,125.09,10.876667688221426,109.54,9.499915789100449,16.38473084094221,0.33255867133065586,15.773560922670203,0.36711826270490283,14.94433744358572,0.3417285066273679,14.241065726314343,0.42666963659835233,13.462218231086247,0.46763265348889627,12.636734883326481,0.4036477282479729,12.004207457582806,0.44609787638288856,11.227861132092265,0.45291765085035884,10.469392683375021,0.47097435311656394,17.036683250348837,0.4255044871814573,16.321695203788686,0.43627687366066614,15.59734174262029,0.4863368486843755,14.827994500078548,0.4003798760878516,13.983034513313415,0.44030151990269145,13.33522239697744,0.46517063703132044,12.462966155918625,0.495724382631832,11.654382530648547,0.5390719630600654,10.89953568353899,0.41091996409252807,,,31.660099721114243,1.093919690051346,30.34792130648114,0.9286296027837282,28.885001795717944,0.9575399058254512,27.37846357472264,0.9950986844377647,25.995034166168043,1.0043973706566731,24.60666882948039,1.0521793068592094,23.08076122889921,1.0569452111761084,21.656339037858103,0.9155995442881459,20.102443000005344,0.975171624835224,6.684487965275921,0.30075069580059016,6.424237086032644,0.2807755513986092,6.0638209825668605,0.25743364449134026,5.7906279554110895,0.26832112070231856,5.401248334061928,0.27548383549631705,5.190047688538465,0.27446270881620083,4.845324916666141,0.2757302720687216,4.525469708434624,0.28726611973220617,4.204643222581242,0.2306905593586039
Affen,3.391029610432649,28.94882955022236,24.16751643853037,0.6854199893080262,268.69,11.226482084785065,249.59,12.184494244735808,226.41,12.528443638377436,202.22,11.291217826257716,181.59,11.237521968832809,161.04,10.901302674451344,143.37,10.530579281312116,124.81,9.675427639127895,109.75,12.010308072651592,16.44168071663972,0.375679666840771,15.70957744791814,0.38623361824391045,15.034103052561715,0.34021376361711175,14.22471182620504,0.37090896648966476,13.51998551707897,0.3741545375575561,12.757501343338408,0.39517018450127783,11.961222125286481,0.43493133889969543,11.272682811281456,0.43199795860589674,10.441882064614642,0.4087773827881259,17.146552477820897,0.34861297635139316,16.328722490250403,0.4142940301251534,15.586842313473415,0.442976390535315,14.80756514183062,0.4090627213807234,14.00498307683078,0.44771665608944583,13.194728764433204,0.4406217926305651,12.43231709515374,0.4470748602129244,11.68675242267962,0.4394565435059309,10.918389307154962,0.5467322132507544,,,31.703584811795107,0.9993028242381325,30.224172832918008,1.0553481995291674,28.713145170008534,1.1389340739455338,27.482059835620365,0.9914790875651669,25.80779096379019,0.94568366566115,24.661344254934303,0.9925242298518843,23.140065772250583,0.9466405884809518,21.73091415972551,0.9034547429422017,20.257930280450605,1.085230150703639,6.725738770854642,0.27058210427817203,6.416761952624769,0.28148403457280197,6.151657455885388,0.2912286898172942,5.814654167189734,0.2875093149177173,5.475213418674121,0.24480473027546967,5.134703300575072,0.2780839490010746,4.817551135068883,0.23972058514283912,4.578973075954172,0.24243486969653852,4.2807008276022485,0.25011727192029304
Agenk,4.205197808959602,24.102622943932907,24.31679429092953,0.6567791095664185,268.78,11.943684523630052,247.27,10.779475868519768,224.06,11.245283455742678,200.36,11.590961996314196,181.28,12.13925862645656,162.16,11.064104120985123,144.92,10.44957415400264,126.7,7.922752047110903,109.61,8.55090053737032,16.46948600022628,0.44275375588534605,15.735461092198996,0.339505840732639,14.906927765058036,0.37882001972173873,14.31373535036923,0.42069028939376296,13.538322787344091,0.4047420236146757,12.756805612395588,0.45156457738897604,11.98043003764208,0.46829062895109635,11.14698678792005,0.44123185507836177,10.458495568654262,0.4357412540019493,17.062524099239255,0.41132905309559487,16.445330522297553,0.4301846045946093,15.64570988348931,0.40482561983851434,14.880969606426596,0.46566503929455133,13.997263206314637,0.45657315627607903,13.21754384233325,0.4765313548262004,12.49382601919437,0.41331031947963326,11.654695710253025,0.4412599673480304,10.858079097739878,0.5042478055564901,,,31.711773787989614,0.939084034806385,30.378934955434598,1.042882600137226,28.704662557809684,1.0236633918610498,27.345296237392127,1.0774281611484602,25.9327750295466,1.0241038387807166,24.6037509638803,0.991888186618485,22.81830052096113,1.016722553653614,21.623013642780812,1.0600789694625345,20.161507532775854,1.0307299128013006,6.700913709367151,0.265012855759115,6.410260324871218,0.28795946292645475,6.115659728448081,0.2805388843414345,5.8153241886532365,0.2724351048467706,5.489441080609295,0.259618368280213,5.1819247616417226,0.230912559618905,4.892571973756079,0.2594179940560474,4.5129412998036464,0.2313731313013417,4.240830416218027,0.24351935142377737
