,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pw_pred_err_mu,pw_pred_err_std,mahalanobis_mu,mahalanobis_std,kalmanw_pred_err_mu,kalmanw_pred_err_std
Abart,320.23529436270553,3.897101189094737e-09,16.03588728109846,1.0239378443141199e-10,376.29498983585427,5.128797603294812e-09,13.004595015845025,9.818341033443541e-11,390988778903.84357,7133619164.613346,15.117894638427897,2.679197871354797e-08,13.004591139709799,1.0700870231696525e-10
Abart,320.23529436270553,3.897101189094737e-09,16.03588728109846,1.0239378443141199e-10,376.29498983585427,5.128797603294812e-09,13.004595015845025,9.818341033443541e-11,390988778903.84357,7133619164.613346,15.117894638427897,2.679197871354797e-08,13.004591139709799,1.0700870231696525e-10
Abart,320.23529436270553,3.897101189094737e-09,16.03588728109846,1.0239378443141199e-10,376.29498983585427,5.128797603294812e-09,13.004595015845025,9.818341033443541e-11,390988778903.84357,7133619164.613346,15.117894638427897,2.679197871354797e-08,13.004591139709799,1.0700870231696525e-10
Abart,320.23529436270553,3.897101189094737e-09,16.03588728109846,1.0239378443141199e-10,376.29498983585427,5.128797603294812e-09,13.004595015845025,9.818341033443541e-11,390988778903.84357,7133619164.613346,15.117894638427897,2.679197871354797e-08,13.004591139709799,1.0700870231696525e-10
Abend,362.0156865117843,4.050561861088631e-09,17.041210650591132,1.0131600566924551e-10,368.21747287293766,4.978038954302426e-09,12.996183227189354,1.0184655336437074e-10,392241769510.4076,7254567117.915479,16.04886246589794,2.439091031784107e-08,12.996178274992293,1.0132530613554001e-10
Abend,362.0156865117843,4.050561861088631e-09,17.041210650591132,1.0131600566924551e-10,368.21747287293766,4.978038954302426e-09,12.996183227189354,1.0184655336437074e-10,392241769510.4076,7254567117.915479,16.04886246589794,2.439091031784107e-08,12.996178274992293,1.0132530613554001e-10
Abend,362.0156865117843,4.050561861088631e-09,17.041210650591132,1.0131600566924551e-10,368.21747287293766,4.978038954302426e-09,12.996183227189354,1.0184655336437074e-10,392241769510.4076,7254567117.915479,16.04886246589794,2.439091031784107e-08,12.996178274992293,1.0132530613554001e-10
Abend,362.0156865117843,4.050561861088631e-09,17.041210650591132,1.0131600566924551e-10,368.21747287293766,4.978038954302426e-09,12.996183227189354,1.0184655336437074e-10,392241769510.4076,7254567117.915479,16.04886246589794,2.439091031784107e-08,12.996178274992293,1.0132530613554001e-10
Aboln,319.34901985321284,4.155997836186532e-09,15.990437357679232,1.1042073238730712e-10,368.3559400824286,5.062358033056505e-09,12.7962841056906,8.28082360158877e-11,391874030976.2692,6214347184.782046,16.142305415833224,2.4472157134901656e-08,12.796285140787516,1.0152058367264225e-10
Aboln,319.34901985321284,4.155997836186532e-09,15.990437357679232,1.1042073238730712e-10,368.3559400824286,5.062358033056505e-09,12.7962841056906,8.28082360158877e-11,391874030976.2692,6214347184.782046,16.142305415833224,2.4472157134901656e-08,12.796285140787516,1.0152058367264225e-10
